site,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2077,2016-04-05,19,0.0510,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,20,0.0400,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,21,0.0390,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,22,0.0330,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,23,0.0310,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,0,0.0310,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,1,0.0300,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,2,0.0290,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,3,0.0270,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,4,0.0250,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,5,0.0260,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,6,0.0250,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,7,0.0220,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,14,0.0540,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,15,0.0560,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,16,0.0640,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,17,0.0620,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,18,0.0560,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,19,0.0580,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,20,0.0590,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,21,0.0490,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,22,0.0380,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-06,23,0.0350,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,0,0.0280,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
