site,monitor,date,start_hour,value,variable,units,quality,prelim 
2420,-,2016-04-05,10,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-05,11,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-05,12,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-05,13,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-05,14,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-05,15,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-05,16,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-05,17,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-05,18,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-05,19,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-05,20,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-05,21,18.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-05,22,15.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-05,23,16.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,0,23.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,1,22.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,2,22.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,3,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,4,18.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,5,16.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,6,26.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,7,29.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,8,24.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,9,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,10,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,11,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,12,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,13,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,14,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,15,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,16,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,17,15.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,18,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,19,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,20,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,21,15.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,22,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-06,23,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,0,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,1,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,2,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,3,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,4,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,5,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,6,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,7,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,8,20.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
